"title" "author" "date" "response"
"1" "
			
				[分享]2017_第二期長者肌力訓練種子教師培訓課程
			
			" "melbourne" " 3/08" ""
"2" " 
			
				[分享] 信義區的社區據點開課囉
			
			" "jill408" " 3/08" ""
"3" "
			
				Fw: [新聞] 這裡長者安養照護包吃住 每月只要1萬2千元
			
			" "sony577" " 3/11" ""
"4" "
			
				[老問] 長輩疑似老年憂鬱症/不肯看醫生
			
			" "d9970042" " 3/11" ""
"5" "
			
				Re: [老問] 長輩疑似老年憂鬱症/不肯看醫生
			
			" "sony577" " 3/11" ""
"6" "
			
				[老居] 請教外籍看護和安養中心費用比較
			
			" "seethegame" " 3/13" "4"
"7" "
			
				[老問] 中度失智者還需繼續醫療嗎？
			
			" "aprilliu" " 3/13" "1"
"8" "
			
				Re: [老問] 中度失智者還需繼續醫療嗎？
			
			" "aprilliu" " 3/14" "4"
"9" "
			
				[新聞] 就要換房! 長照老人刺殺室友自刎2死 
			
			" "talk5566" " 3/15" "1"
"10" "
			
				交易 電動床+氣墊床 （已售出）
			
			" "kittylove610" " 3/20" ""
"11" "
			
				[老居] 南高雄有設置復健職能治療的養護機構
			
			" "tengy" " 3/20" "1"
"12" "
			
				Fw: [情報] 伊甸哈拿尼亞工作坊南投場 開放報名中
			
			" "adapower" " 3/23" ""
"13" "
			
				Re: 如果要找女傭、外勞、外籍看護請找我
			
			" "yo2home" " 3/24" ""
"14" "
			
				[分享] 老年人血糖高怎麼控製？
			
			" "sunfish995" " 3/26" "1"
"15" "
			
				[問卷] 70~90歲長者平板試用研究 5000+1500元
			
			" "Portmento" " 3/27" ""
"16" "
			
				Fw: [新聞] 黃斑部病變有救了！險瞎婦重見光明
			
			" "sony577" " 3/29" ""
"17" "
			
				[老問] 免費公益表演團體
			
			" "aa5174aa" " 3/29" "2"
"18" "
			
				[情報] 5/18（四）下午 醫療爭議講座
			
			" "mikiway" " 3/31" ""
"19" "
			
				[老居] 時薪180元，她們是長照第一線的到宅照服
			
			" "mulkcs" " 4/07" ""
"20" "
			
				[問卷] 成人紙尿褲品牌訪問 車馬費1500元
			
			" "Portmento" " 4/08" ""
