Area,Grand Total,  Administrators,Nursing Staff,Social Workers, Serviceman,Others
New Taipei City,63.21,3.87,13.77,2.74,40.81,2.01
Taipei City,52.6,4.68,9.51,2.95,31.64,3.83
Taichung City,35.81,3.31,6.62,1.54,24.33,0
Tainan City,55.73,5.52,11.37,1.7,32.78,4.37
Kaohsiung City,59.79,5.27,12.2,2.7,35.47,4.15
Yilan County,105.78,10.57,18.11,4.64,66.3,6.15
Taoyuan County,39.01,3.3,8.15,1.61,24.58,1.36
Hsinchu County,52.13,5.78,8.85,1.72,33.08,2.71
Miaoli County,30.82,2.38,5.23,1.33,20.74,1.14
Changhua County,48.16,5.04,8.74,2.32,29.39,2.67
Nantou County,37.54,3.54,5.99,2.16,21.42,4.42
Yunlin County,49.86,4.44,8.29,1.79,31.56,3.78
Chiayi County,41.66,4.1,8.2,1.2,24.76,3.41
Pingtung County,55.79,6.45,11.1,1.74,32.36,4.15
Taitung County,81.45,10.48,11.43,4.05,46.68,8.81
Hualien County,44.84,5.5,9.23,2.43,24.93,2.75
Penghu County,12.13,2.53,3.03,0,6.06,0.51
Keelung City,96.54,8.94,17.88,4.09,59.41,6.21
Hsinchu City,29.6,2.13,5.72,0.82,19.46,1.47
Chiayi City,85.32,6.3,15.63,3.91,50.59,8.9
Kinmen County,43.43,4.99,7.49,2,23.46,5.49
Lienchiang County,122.7,18.4,6.13,6.13,42.94,49.08
