    Year    ,    Total    ,      Administrators    ,    Nursing Staff    ,    Social Workers    ,     Serviceman    
2002 ,10380 ,1561 ,1871 ,202 ,5291 
2003 ,11355 ,1650 ,2004 ,217 ,5955 
2004 ,12689 ,1805 ,2216 ,303 ,6649 
2005 ,13538 ,1842 ,2429 ,336 ,7169 
2006 ,14919 ,1862 ,2632 ,390 ,8075 
2007 ,16909 ,2024 ,3036 ,536 ,8958 
2008 ,17633 ,2010 ,3205 ,550 ,9903 
2009 ,18904 ,2098 ,3535 ,662 ,10707 
2010 ,19664 ,2094 ,3771 ,755 ,11041 
2011 ,20936 ,2133 ,3981 ,857 ,12212 
2012 ,21506 ,2016 ,4198 ,931 ,12711 
2013 ,21996 ,2011 ,4360 ,950 ,13069 
