Year, Total ,   Administrators , Nursing Staff , Social Workers ,  Serviceman 
2003, 0.09 , 0.06 , 0.07 , 0.07 , 0.13 
2004, 0.12 , 0.09 , 0.11 , 0.40 , 0.12 
2005, 0.07 , 0.02 , 0.10 , 0.11 , 0.08 
2006, 0.10 , 0.01 , 0.08 , 0.16 , 0.13 
2007, 0.13 , 0.09 , 0.15 , 0.37 , 0.11 
2008, 0.04 ,-0.01 , 0.06 , 0.03 , 0.11 
2009, 0.07 , 0.04 , 0.10 , 0.20 , 0.08 
2010, 0.04 ,-0.00 , 0.07 , 0.14 , 0.03 
2011, 0.06 , 0.02 , 0.06 , 0.14 , 0.11 
2012, 0.03 ,-0.05 , 0.05 , 0.09 , 0.04 
2013, 0.02 ,-0.00 , 0.04 , 0.02 , 0.03 
