all,leader,nurse,social,caregiver,foreigner
4558,208,980,336,1609,1028
2883,118,513,143,981,621
1241,63,241,44,462,345
1565,124,296,57,579,369
2230,110,443,93,708,478
3496,263,707,148,1100,746
1029,46,185,47,336,271
440,35,73,18,164,118
365,14,61,16,115,86
1111,96,201,50,364,289
407,15,72,16,135,93
935,71,157,35,302,247
535,26,106,18,174,130
1031,97,236,36,351,226
342,38,52,14,112,61
292,14,64,16,109,68
31,3,5,1,11,8
705,32,130,34,254,163
207,11,43,5,79,54
382,42,72,15,136,77
117,3,14,7,37,8
103,2,13,6,28,8
