SiteId,SiteName,MonitorDate,PSI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex
83,麥寮,2017-04-11,42,3,,,42,
80,關山,2017-04-11,32,2,,32,28,
78,馬公,2017-04-11,38,4,4,38,23,
77,金門,2017-04-11,39,5,5,39,32,
75,馬祖,2017-04-11,54,3,5,54,26,
72,埔里,2017-04-11,22,4,4,18,22,
71,復興,2017-04-11,24,8,6,,24,
70,永和,2017-04-11,27,3,9,,27,
69,竹山,2017-04-11,48,3,3,22,48,
68,中壢,2017-04-11,39,5,13,,39,
67,三重,2017-04-11,45,7,17,,45,
66,冬山,2017-04-11,49,3,5,49,35,
65,宜蘭,2017-04-11,49,3,5,49,38,
64,陽明,2017-04-11,55,3,4,55,5,
63,花蓮,2017-04-11,48,3,5,48,36,
62,臺東,2017-04-11,35,3,5,31,35,
61,恆春,2017-04-11,43,3,2,43,22,
60,潮州,2017-04-11,33,4,2,30,33,
59,屏東,2017-04-11,31,4,5,23,31,
58,小港,2017-04-11,33,15,4,18,33,
57,前鎮,2017-04-11,26,8,,,26,
56,前金,2017-04-11,38,6,3,22,38,
54,左營,2017-04-11,31,5,3,20,31,
53,楠梓,2017-04-11,37,5,4,19,37,
52,林園,2017-04-11,24,7,3,24,20,
51,大寮,2017-04-11,33,10,3,17,33,
50,鳳山,2017-04-11,44,6,7,,44,
49,仁武,2017-04-11,36,7,4,17,36,
48,橋頭,2017-04-11,32,4,3,18,32,
47,美濃,2017-04-11,21,4,2,18,21,
46,臺南,2017-04-11,30,5,4,22,30,
45,安南,2017-04-11,31,6,4,19,31,
44,善化,2017-04-11,28,4,2,20,28,
43,新營,2017-04-11,36,3,3,20,36,
42,嘉義,2017-04-11,32,5,3,25,32,
41,臺西,2017-04-11,28,3,,,28,
40,朴子,2017-04-11,33,2,3,20,33,
39,新港,2017-04-11,28,4,2,19,28,
38,崙背,2017-04-11,31,2,4,22,31,
37,斗六,2017-04-11,36,5,4,18,36,
36,南投,2017-04-11,31,4,4,18,31,
35,二林,2017-04-11,30,5,6,20,30,
34,線西,2017-04-11,46,7,,,46,
33,彰化,2017-04-11,36,6,8,18,36,
32,西屯,2017-04-11,39,2,6,16,39,
31,忠明,2017-04-11,32,4,8,14,32,
30,大里,2017-04-11,46,4,9,16,46,
29,沙鹿,2017-04-11,33,5,7,27,33,
28,豐原,2017-04-11,31,5,11,16,31,
27,三義,2017-04-11,24,3,6,24,19,
26,苗栗,2017-04-11,34,5,7,30,34,
25,頭份,2017-04-11,29,3,,,29,
24,新竹,2017-04-11,38,3,6,38,25,
23,竹東,2017-04-11,32,2,6,32,23,
22,湖口,2017-04-11,44,5,5,44,22,
21,龍潭,2017-04-11,46,5,6,46,32,
20,平鎮,2017-04-11,46,6,7,46,27,
19,觀音,2017-04-11,45,6,5,45,37,
18,大園,2017-04-11,47,6,5,47,29,
17,桃園,2017-04-11,45,7,7,45,27,
16,大同,2017-04-11,43,5,17,,43,
15,松山,2017-04-11,43,3,6,43,25,
14,古亭,2017-04-11,47,3,6,47,26,
13,萬華,2017-04-11,42,2,6,42,24,
12,中山,2017-04-11,38,2,8,38,28,
11,士林,2017-04-11,48,3,6,48,24,
10,淡水,2017-04-11,41,3,5,41,26,
9,林口,2017-04-11,48,2,5,48,29,
8,菜寮,2017-04-11,44,2,7,44,26,
7,新莊,2017-04-11,47,5,7,47,29,
6,板橋,2017-04-11,44,4,8,44,32,
5,土城,2017-04-11,46,4,6,46,22,
4,新店,2017-04-11,49,6,6,49,23,
3,萬里,2017-04-11,60,3,4,60,58,
2,汐止,2017-04-11,43,3,5,43,24,
1,基隆,2017-04-11,52,2,5,52,20,
83,麥寮,2017-04-10,41,3,,,41,
80,關山,2017-04-10,30,2,,26,30,
78,馬公,2017-04-10,24,4,3,21,24,
77,金門,2017-04-10,29,4,2,24,29,
75,馬祖,2017-04-10,50,2,4,50,20,
72,埔里,2017-04-10,40,4,3,40,32,
71,復興,2017-04-10,31,10,7,,31,
70,永和,2017-04-10,41,4,13,,41,
69,竹山,2017-04-10,45,2,3,33,45,
68,中壢,2017-04-10,50,5,16,,50,
67,三重,2017-04-10,56,7,24,,56,
66,冬山,2017-04-10,49,4,5,30,49,
65,宜蘭,2017-04-10,49,4,4,40,49,
64,陽明,2017-04-10,38,4,2,38,12,
63,花蓮,2017-04-10,41,4,4,35,41,
62,臺東,2017-04-10,36,1,4,21,36,
61,恆春,2017-04-10,31,5,2,30,31,
60,潮州,2017-04-10,46,5,4,36,46,
59,屏東,2017-04-10,35,4,5,28,35,
