Area,Population,Aged Population,Proportion of Aged Population,Disabled Aged Population,Longterm Care Facilities Beds,Nursing Home Beds,Veterans Home Beds,Total Beds,Disabled Aged Beds of every millon people
Taiwan,23539816 ,3106105 ,0.132 ,394475 ,61082 ,42603 ,8230 ,111915 ,2837.1 
New Taipei City ,3979208 ,465909 ,0.117 ,59170 ,11034 ,6231 ,1288 ,18553 ,3135.5 
Taipei City ,2695704 ,419130 ,0.156 ,53230 ,5674 ,1474 ,0 ,7148 ,1342.9 
Taoyuan City,2147763 ,219425 ,0.102 ,27867 ,3704 ,3892 ,1346 ,8942 ,3208.8 
Taichung City,2767239 ,301904 ,0.109 ,38342 ,4306 ,6387 ,0 ,10693 ,2788.9 
Tainan City ,1886033 ,259701 ,0.138 ,32982 ,5951 ,5381 ,1091 ,12423 ,3766.6 
Kaohsiung City,2779371 ,373604 ,0.134 ,47448 ,8007 ,4861 ,1324 ,14192 ,2991.1 
Yilan County ,457538 ,67808 ,0.148 ,8612 ,2323 ,550 ,0 ,2873 ,3336.2 
Hsinchu County,547481 ,64040 ,0.117 ,8133 ,1191 ,1210 ,0 ,2401 ,2952.1 
Miaoli County,559189 ,82771 ,0.148 ,10512 ,1058 ,639 ,0 ,1697 ,1614.4 
Changhua County  ,1287146 ,182962 ,0.142 ,23236 ,3431 ,3558 ,810 ,7799 ,3356.4 
Nantou County,505163 ,80135 ,0.159 ,10177 ,1404 ,1494 ,0 ,2898 ,2847.6 
Yunlin County,694873 ,118764 ,0.171 ,15083 ,2001 ,920 ,401 ,3322 ,2202.5 
Chiayi County  ,515320 ,92234 ,0.179 ,11714 ,1275 ,1149 ,0 ,2424 ,2069.4 
Pingtung County,835792 ,127016 ,0.152 ,16131 ,3376 ,1675 ,468 ,5519 ,3421.4 
Taitung County,220802 ,33060 ,0.150 ,4199 ,730 ,377 ,448 ,1555 ,3703.6 
Hualien County,330911 ,48649 ,0.147 ,6178 ,1183 ,475 ,480 ,2138 ,3460.4 
Penghu County,103263 ,15579 ,0.151 ,1979 ,155 ,139 ,0 ,294 ,1485.9 
Keelung City,372100 ,51949 ,0.140 ,6598 ,1908 ,571 ,0 ,2479 ,3757.5 
Hsinchu City,437337 ,48141 ,0.110 ,6114 ,639 ,289 ,574 ,1502 ,2456.7 
Chiayi City,269874 ,36268 ,0.134 ,4606 ,1404 ,1321 ,0 ,2725 ,5916.2 
Kinmen County,135114 ,15769 ,0.117 ,2003 ,294 ,0 ,0 ,294 ,1468.0 
Lienchiang County,12595 ,1287 ,0.102 ,163 ,34 ,10 ,0 ,44 ,2692.0 
Taiwan,23492074 ,2938579 ,0.125 ,481927 ,59869 ,37032 ,7841 ,104742 ,2173.4 
New Taipei City ,3970644 ,429175 ,0.108 ,70385 ,11006 ,6052 ,803 ,17861 ,2537.6 
Taipei City ,2704810 ,399182 ,0.148 ,65466 ,5673 ,1246 ,0 ,6919 ,1056.9 
Taoyuan City,2105780 ,203630 ,0.097 ,33395 ,3464 ,2787 ,1448 ,7699 ,2305.4 
Taichung City,2744445 ,282316 ,0.103 ,46300 ,4176 ,5675 ,0 ,9851 ,2127.7 
Tainan City ,1885541 ,246794 ,0.131 ,40474 ,5487 ,4548 ,1055 ,11090 ,2740.0 
Kaohsiung City,2778918 ,350448 ,0.126 ,57473 ,7579 ,4338 ,1324 ,13241 ,2303.8 
Yilan County ,458117 ,65178 ,0.142 ,10689 ,2361 ,473 ,0 ,2834 ,2651.3 
Hsinchu County,542042 ,61960 ,0.114 ,10161 ,1190 ,976 ,0 ,2166 ,2131.6 
Miaoli County,563912 ,80544 ,0.143 ,13209 ,1084 ,619 ,0 ,1703 ,1289.3 
Changhua County  ,1289072 ,175785 ,0.136 ,28829 ,3498 ,2848 ,840 ,7186 ,2492.7 
Nantou County,509490 ,77509 ,0.152 ,12711 ,1537 ,1229 ,0 ,2766 ,2176.0 
Yunlin County,699633 ,115214 ,0.165 ,18895 ,1908 ,742 ,401 ,3051 ,1614.7 
Chiayi County  ,519839 ,89843 ,0.173 ,14734 ,1226 ,1049 ,0 ,2275 ,1544.0 
Pingtung County,841253 ,121896 ,0.145 ,19991 ,3394 ,1557 ,468 ,5419 ,2710.7 
Taitung County,222452 ,32084 ,0.144 ,5262 ,730 ,311 ,448 ,1489 ,2829.8 
Hualien County,331945 ,46701 ,0.141 ,7659 ,1183 ,404 ,480 ,2067 ,2698.8 
Penghu County,102304 ,15108 ,0.148 ,2478 ,155 ,139 ,0 ,294 ,1186.6 
Keelung City,372105 ,49134 ,0.132 ,8058 ,1904 ,505 ,0 ,2409 ,2989.6 
Hsinchu City,434060 ,45572 ,0.105 ,7474 ,574 ,267 ,574 ,1415 ,1893.3 
Chiayi City,270366 ,34434 ,0.127 ,5647 ,1412 ,1262 ,0 ,2674 ,4735.1 
Kinmen County,132799 ,14841 ,0.112 ,2434 ,294 ,0 ,0 ,294 ,1207.9 
Lienchiang County,12547 ,1231 ,0.098 ,202 ,34 ,5 ,0 ,39 ,1931.8 
Taiwan,23433753 ,2808690 ,0.120 ,356704 ,59280 ,35334 ,8200 ,102814 ,2882.3 
