Area,Region,Population,Aged Population,Proportion of Aged Population,Disabled Aged Population,Longterm Care Facilities Beds,Nursing Home Beds,Veterans Home Beds,Total Beds,Disabled Aged Beds of every millon people,Grand Total,  Administrators,Nursing Staff,Social Workers, Serviceman,Others
New Taipei City ,north,3979208,465909,0.117,59170,11034,6231,1288,18553,3135.5,63.21,3.87,13.77,2.74,40.81,2.01
Taipei City ,north,2695704,419130,0.156,53230,5674,1474,0,7148,1342.9,52.6,4.68,9.51,2.95,31.64,3.83
Taoyuan City,north,2147763,219425,0.102,27867,3704,3892,1346,8942,3208.8,39.01,3.3,8.15,1.61,24.58,1.36
Taichung City,central,2767239,301904,0.109,38342,4306,6387,0,10693,2788.9,35.81,3.31,6.62,1.54,24.33,0
Tainan City ,south,1886033,259701,0.138,32982,5951,5381,1091,12423,3766.6,55.73,5.52,11.37,1.7,32.78,4.37
Kaohsiung City,south,2779371,373604,0.134,47448,8007,4861,1324,14192,2991.1,59.79,5.27,12.2,2.7,35.47,4.15
Yilan County ,south,457538,67808,0.148,8612,2323,550,0,2873,3336.2,105.78,10.57,18.11,4.64,66.3,6.15
Hsinchu County,north,547481,64040,0.117,8133,1191,1210,0,2401,2952.1,52.13,5.78,8.85,1.72,33.08,2.71
Miaoli County,central,559189,82771,0.148,10512,1058,639,0,1697,1614.4,30.82,2.38,5.23,1.33,20.74,1.14
Changhua County  ,central,1287146,182962,0.142,23236,3431,3558,810,7799,3356.4,48.16,5.04,8.74,2.32,29.39,2.67
Nantou County,central,505163,80135,0.159,10177,1404,1494,0,2898,2847.6,37.54,3.54,5.99,2.16,21.42,4.42
Yunlin County,central,694873,118764,0.171,15083,2001,920,401,3322,2202.5,49.86,4.44,8.29,1.79,31.56,3.78
Chiayi County  ,central,515320,92234,0.179,11714,1275,1149,0,2424,2069.4,41.66,4.1,8.2,1.2,24.76,3.41
Pingtung County,south,835792,127016,0.152,16131,3376,1675,468,5519,3421.4,55.79,6.45,11.1,1.74,32.36,4.15
Taitung County,east,220802,33060,0.15,4199,730,377,448,1555,3703.6,81.45,10.48,11.43,4.05,46.68,8.81
Hualien County,east,330911,48649,0.147,6178,1183,475,480,2138,3460.4,44.84,5.5,9.23,2.43,24.93,2.75
Penghu County,south,103263,15579,0.151,1979,155,139,0,294,1485.9,12.13,2.53,3.03,0,6.06,0.51
Keelung City,north,372100,51949,0.14,6598,1908,571,0,2479,3757.5,96.54,8.94,17.88,4.09,59.41,6.21
Hsinchu City,north,437337,48141,0.11,6114,639,289,574,1502,2456.7,29.6,2.13,5.72,0.82,19.46,1.47
Chiayi City,central,269874,36268,0.134,4606,1404,1321,0,2725,5916.2,85.32,6.3,15.63,3.91,50.59,8.9
Kinmen County,-,135114,15769,0.117,2003,294,0,0,294,1468,43.43,4.99,7.49,2,23.46,5.49
Lienchiang County,-,12595,1287,0.102,163,34,10,0,44,2692,122.7,18.4,6.13,6.13,42.94,49.08
