"","author","Freq"
"1","??",6
"2","???",1
"3","??·O",1
"4","?¦b«Û",2
"5","?¦õ¾±",2
"6","?Êä«e",5
"7","A-Hao Lin",1
"8","Aasta Ming",2
"9","Abby Chen",2
"10","Abo Lin",2
"11","Ada Yu",5
"12","Adam Liu",4
"13","Adam Tam",4
"14","Adeline Tsai",2
"15","Aden Huang",4
"16","Agnes Tan",1
"17","Ah Choi",3
"18","Aiai Wang",5
"19","Aileen Chen",1
"20","Aileen Lin",8
"21","Akatsuki Yui",1
"22","Alan Liu",2
"23","Albee Chang",1
"24","Alex Chen",1
"25","Alex Hsu",1
"26","Alice  Mi",2
"27","Alice Chang",21
"28","Alice Lai",6
"29","Alice Tsai",7
"30","Alina Tai",1
"31","Alison Lin",1
"32","Allison Wu",2
"33","Alma Deng",4
"34","Amanda Huang",1
"35","Amanda Wang",4
"36","Amber Hsiao",1
"37","Amber Lin",4
"38","Amei Wang",2
"39","Amelie Chiang",1
"40","Amie Chiang",1
"41","Ammy Huang",1
"42","Amo Lin",2
"43","Amy  Tsai",13
"44","Amy Cheng",5
"45","Amy Chiang",1
"46","Amy Hsu",2
"47","Amy Tsai",3
"48","Amy Tseng",3
"49","Anderson Huang",1
"50","Andrea Green",2
"51","Andrew Chen",44
"52","ANdy Huang",1
"53","Angel Chiu",1
"54","Angel Huang",1
"55","Angel Lee",3
"56","Angel Peng",44
"57","Angel Wu",7
"58","Angel Yang",3
"59","Angela Ke",2
"60","Angela Wang",1
"61","Angelie Chang",4
"62","Anice Ru",3
"63","Anita Chang",17
"64","Anita Chen",1
"65","Ann Chen",1
"66","Ann Ku",1
"67","Ann Yu",2
"68","Anna Chen",1
"69","Anna Hu",7
"70","Anna Jen",4
"71","Anne Chang",1
"72","Anne Hsu",1
"73","Anne Wang",1
"74","Annick Wang",1
"75","Annie Chan",2
"76","Anny Chang",1
"77","Anny Tseng",3
"78","Anson Kuan",1
"79","Anson Tang",1
"80","Antoine Fan",1
"81","App Le",2
"82","April Chen",18
"83","April Yeung",1
"84","Ariana Kao",4
"85","Ariel Kao",3
"86","Ariel Liao",1
"87","Ariel Yu Zu",1
"88","Arisa Chou",1
"89","Arthur Tu",2
"90","Ash Change",1
"91","Au Megumi",1
"92","Audrey Liu",3
"93","Aurora Fan",2
"94","Austin Liang-wei Huang",1
"95","Auyeung Auyeungwaiping",2
"96","Avenda Lin",2
"97","Awei Wei",1
"98","Baby-baby Wang",2
"99","BabyShinji Hsu",1
"100","Bang-an Liou",3
"101","Belle Chen",1
"102","Benyan  Liu",5
"103","Berg Lai",2
"104","Bernice Tien",1
"105","Bertha Wang",1
"106","Berton Chang",1
"107","Beryl Chung",1
"108","Betty Chen",1
"109","Betty Li",1
"110","Bigeye Blythe",2
"111","Bill Cheng",2
"112","Bill Ronaldson",1
"113","Bittersweet Tsai",2
"114","Blair Lin",2
"115","Bobo Chang",6
"116","Bobonini Lee",8
"117","Bong Sc",1
"118","Bonnie Hui",5
"119","Bosh  Cheng",4
"120","Brian Lin",4
"121","Buan Buan",1
"122","Buddhaasia Wu",4
"123","Buenos Dias",1
"124","Bunny Gu",1
"125","C.k. Lin",2
"126","Caca  Chen",2
"127","Calu Liu",1
"128","Camille Bay",1
"129","Candice Chien",1
"130","Candy Liu",1
"131","Candy Lu Candy",1
"132","Candy Ru",2
"133","Candy Sun",1
"134","Candy Wang",1
"135","Carey Huang",1
"136","Carl Meng",10
"137","Carol Cheng",1
"138","Carrie Chen",1
"139","Carrie Cheung",1
"140","Carrie Deng",1
"141","Carry Wu",1
"142","Caspar Wang",100
"143","Catherine  Huang",8
"144","Catherine Chao",40
"145","Catherine Chen",1
"146","Catherine Wang",4
"147","Cathryn Chang",3
"148","Cathy Chang",63
"149","Cathy Ice",4
"150","Cathy Yip",1
"151","Cecilia Fang",11
"152","Cecilia Wang",25
"153","Cerata Wang",2
"154","Cha Chi  Ki",1
"155","Chan Stella",4
"156","Chance  Wang",1
"157","Chang Hung Ju",1
"158","Channing Chen",1
"159","Channing Yeh",9
"160","Chao Tin",1
"161","Chao Yun Chang",1
"162","Charity Hsu",7
"163","Charlotte Chiang Motto",4
"164","Cheekuong Goh",2
"165","Chen Cancercare",1
"166","Chen Chen Angel",3
"167","Chen Eva",1
"168","Chen Gen Huang",1
"169","Chen Kuo",1
"170","Chen Mickey",1
"171","Chen Milo",1
"172","Chen ShingFang",1
"173","Chen Yanyu",3
"174","Chen YI Sing",6
"175","Chen Zoey",1
"176","Cheng-yu Lin",1
"177","Cheng Ching-yu",1
"178","Cheng Kai Fan",1
"179","Cheng Wen Huang",2
"180","Cherry Chen",21
"181","Cherry Tsai",4
"182","Cherry Wei",2
"183","Cherry Yeung",1
"184","Chi-Jui  Wu",2
"185","Chi Bao",3
"186","Chi Cheng",15
"187","Chi Chi Kuo",1
"188","Chi Ho",1
"189","Chi Hsu",1
"190","Chi Kung",1
"191","Chia-chang Liu",2
"192","Chia-chen Chiang",1
"193","Chia-Hsien Liao",9
"194","Chia Fan Hsieh",1
"195","Chia Ling Kung",2
"196","Chia PingChang",2
"197","Chia Wei Lee",4
"198","Chiahua Lin",2
"199","Chialing Chen",1
"200","Chiang Leon",1
"201","Chieh Chang",1
"202","Chieh Jung Hou",1
"203","Chiehwei  Liu",1
"204","Chien-piao Lan",1
"205","Chien Hao Huang",2
"206","Chienhao Liao",1
"207","Chih Feng Liu",2
"208","Chih Hsu",1
"209","Chin-Jen Tsai",1
"210","Ching-Chun Ke",2
"211","Ching Chuang",1
"212","Ching Fen Lai",1
"213","Ching Lu",2
"214","Ching Ying",3
"215","Chiu Ko",1
"216","Chiung Lee",2
"217","Chloe Huang",1
"218","Chloe Woo",8
"219","Chn-chs Tang",5
"220","Chole Chen",3
"221","Chou Wen Yun",4
"222","Chris  Tsai",4
"223","Chris Li",1
"224","Chris Wang",3
"225","Chris Yuehua Lee",6
"226","Christine Chang",5
"227","Christine Lee",2
"228","Christine Lin",1
"229","Chu Anita",2
"230","Chuan Fang",1
"231","Chui Chui",3
"232","Chun Hsin Lin",1
"233","Chun Hui",1
"234","Chun Yi Wang",5
"235","Chung-Pin Wang",1
"236","Chung  Judy",8
"237","Chung Yuan Cheng",1
"238","Cincia Chen",39
"239","Cindy Chen",1
"240","Cindy Chiang",1
"241","Cindy Fan",2
"242","Cindy Su",1
"243","Cindy Tseng",3
"244","Citizen Huang",1
"245","Claire Apple Hu",5
"246","Claire Chen",3
"247","Claud Hsu",3
"248","Coco Chen",1
"249","Connie Chen",1
"250","Connie Cheung",4
"251","Connie Cho",1
"252","Constance Chen",1
"253","Crystal Lin",1
"254","Curry Cheuk",2
"255","CY Huang",2
"256","Cybil Chou",1
"257","Cynthia Chen",1
"258","Dai Ling",1
"259","Dan Chen",1
"260","Dana Hsu",1
"261","Daniel  Lee",3
"262","Daniel Huang",1
"263","Danny Lin",2
"264","Danny Su",2
"265","Daphne Hung",1
"266","Daphne Jao",1
"267","Darren Lo",6
"268","David Wang",1
"269","Debra  Sun",1
"270","Deengo Huang",1
"271","Delia Wu",3
"272","Deng Eason",3
"273","Dennisnj Chen",5
"274","Dianne Wang",5
"275","Djupelang Rupeljengan",3
"276","Dodoro Ho",2
"277","Dolly King",4
"278","Dolly Xu",1
"279","Doris Chen",1
"280","Doris Kuo",1
"281","Doris Lai",1
"282","Doris Lin",2
"283","Dynasty Chris",5
"284","Eason HU",1
"285","Eddie Lin",1
"286","Eden Law",1
"287","Edward Tsai",1
"288","Elaine Hung",1
"289","Elisha Law",3
